R_age,P_age,R_yrsed,P_yrsed,R_race,P_race,R_political,P_political,R_religion,P_religion,R_work,R_house,R_rent,R_citydweller,R_region,same_sex_couple,relationship_quality,coresident,relationship_length_start,age_difference,edu_difference,rac_difference,pol_difference,relig_difference,LGB_status,union_status,broke_up,together_end
52,48.0,16.0,14.0,Hispanic,NH white,democrat,democrat,catholic,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a building with 2 or more apartments,rented for cash,metro,midwest,same-sex couple,good,Yes,7.0,4.0,2.0,yes,no,yes,B,none,no,yes
28,30.0,17.0,16.0,NH white,NH white,democrat,democrat,jewish,none,working,a building with 2 or more apartments,rented for cash,metro,west,same-sex couple,good,Yes,8.0,-2.0,1.0,no,no,yes,B,married,no,yes
31,40.0,14.0,12.0,NH white,NH white,democrat,democrat,"other non-christian, please specify","other non-christian, please specify",working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,south,same-sex couple,good,No,8.0,-9.0,2.0,no,no,no,G,none,w2,no
53,55.0,16.0,17.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,good,Yes,12.0,-2.0,-1.0,no,no,yes,B,none,no,yes
58,51.0,17.0,17.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a building with 2 or more apartments,rented for cash,metro,south,different sex couple,good,No,30.0,7.0,0.0,no,no,yes,B,married,no,yes
45,45.0,13.0,16.0,NH white,NH white,democrat,other,"other non-christian, please specify",baptist - any denomination,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,4.0,0.0,-3.0,no,yes,yes,G,none,no,yes
65,65.0,17.0,17.0,NH white,NH white,democrat,democrat,none,none,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,excellent,Yes,27.0,0.0,0.0,no,no,no,L,CU_DP,no,yes
53,44.0,20.0,17.0,NH white, NH black,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,15.0,9.0,3.0,yes,no,yes,G,none,no,yes
34,34.0,16.0,16.0,NH white,NH white,democrat,other,"other non-christian, please specify","other non-christian, please specify",working,a one-family house detached from any other house,rented for cash,metro,midwest,different sex couple,excellent,Yes,14.0,0.0,0.0,no,yes,no,B,married,no,yes
65,50.0,17.0,13.0,NH white,NH white,democrat,democrat,other christian,"other non-christian, please specify",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,No,14.0,15.0,4.0,no,no,yes,G,none,w2,no
49,46.0,16.0,16.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,midwest,same-sex couple,fair,No,0.15,3.0,0.0,no,no,yes,G,none,w2,no
89,52.0,13.0,16.0,NH white,NH white,democrat,other,other christian,"other non-christian, please specify",retired,a one-family house detached from any other house,rented for cash,metro,west,same-sex couple,good,No,19.0,37.0,-3.0,no,yes,yes,B,none,no,yes
33,27.0,20.0,12.0,NH white, NH black,democrat,democrat,none,none,working,a building with 2 or more apartments,rented for cash,metro,west,same-sex couple,good,No,2.5,6.0,8.0,yes,no,no,G,none,w2,no
50,52.0,11.0,16.0,NH white,NH white,democrat,democrat,"other non-christian, please specify",none,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,good,No,0.15,-2.0,-5.0,no,no,yes,G,none,w2,no
38,45.0,17.0,12.0,NH white,NH white,democrat,democrat,catholic,catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,excellent,Yes,11.0,-7.0,5.0,no,no,no,G,married,no,yes
48,47.0,13.0,13.0, NH black,NH white,democrat,democrat,"other non-christian, please specify",buddhist,working,a building with 2 or more apartments,rented for cash,metro,west,same-sex couple,good,Yes,4.0,1.0,0.0,yes,no,yes,L,married,no,yes
74,61.0,20.0,14.0,NH white,NH white,democrat,democrat,none,catholic,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,43.0,13.0,6.0,no,no,yes,G,married,no,yes
