single_status,R_age,R_yrsed,R_race,R_political,R_religion,R_gender,R_work,R_house,R_rent,R_citydweller,R_region
partnered,52,16.0,Hispanic,democrat,catholic,female,working,a building with 2 or more apartments,rented for cash,metro,midwest
partnered,28,17.0,NH white,democrat,jewish,female,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,31,14.0,NH white,democrat,"other non-christian, please specify",male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,south
single,35,12.0,NH white,democrat,other christian,male,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south
single,69,13.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,retired,a building with 2 or more apartments,rented for cash,metro,midwest
partnered,53,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,58,17.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a building with 2 or more apartments,rented for cash,metro,south
partnered,45,13.0,NH white,democrat,"other non-christian, please specify",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,65,17.0,NH white,democrat,none,female,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,53,20.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west
partnered,34,16.0,NH white,democrat,"other non-christian, please specify",female,working,a one-family house detached from any other house,rented for cash,metro,midwest
partnered,65,17.0,NH white,democrat,other christian,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,49,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,midwest
single,65,16.0,NH white,democrat,none,female,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,northeast
partnered,89,13.0,NH white,democrat,other christian,male,retired,a one-family house detached from any other house,rented for cash,metro,west
single,41,16.0,NH white,democrat,none,male,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south
partnered,33,20.0,NH white,democrat,none,male,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,50,11.0,NH white,democrat,"other non-christian, please specify",male,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,64,13.0,NH white,democrat,none,male,unemployed,a one-family house attached to one or more houses,rented for cash,metro,west
partnered,38,17.0,NH white,democrat,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,48,13.0, NH black,democrat,"other non-christian, please specify",female,working,a building with 2 or more apartments,rented for cash,metro,west
single,65,17.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,74,20.0,NH white,democrat,none,male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
